id,datetime,latitude,longitude,magnitude,location,location-broad
10114,13/07/2022 01:30,18.05816667,-66.84266667,5,Puerto Rico,Central America
10115,13/07/2022 01:30,-16.8215,-71.4352,45,Peru,South America
10116,13/07/2022 01:32,38.7309,-116.0977,10,Nevada,North America
10117,13/07/2022 02:16,17.97966667,-66.84,11,Puerto Rico,Central America
10118,13/07/2022 02:37,51.7888,-170.3423,18,Alaska,North America
10119,13/07/2022 02:38,26.8251,55.1527,36,Iran,Middle East
10120,13/07/2022 02:58,38.6946,-116.1138,32,Nevada,North America
10121,13/07/2022 03:33,-10.749,161.5151,40,Solomon Islands,Oceania
10122,13/07/2022 03:36,17.9755,-66.97933333,8,Puerto Rico,Central America
10123,13/07/2022 03:41,38.6896,-116.1015,9,Nevada,North America
10124,13/07/2022 03:48,19.1843338,-155.4711609,6,Hawaii,North America
10125,13/07/2022 03:59,38.6661667,-119.704,10,California,North America
10126,13/07/2022 04:05,19.35033333,-155.2173333,7,Hawaii,North America
10127,13/07/2022 04:06,36.061,106.0128,36,China,Asia
10128,13/07/2022 04:08,18.00116667,-66.815,6,Puerto Rico,Central America
10129,13/07/2022 04:09,17.95666667,-66.87666667,7,Puerto Rico,Central America
10130,13/07/2022 05:15,56.0927,-150.0567,28,Alaska,North America
10131,13/07/2022 05:18,39.5556667,-111.4053333,15,Utah,North America
10132,13/07/2022 05:19,62.3304,-149.5918,32,Alaska,North America
10133,13/07/2022 05:27,-24.2796,-67.3266,36,Argentina,South America
10134,13/07/2022 05:28,56.3597,-150.5539,7,Alaska,North America
10135,13/07/2022 05:41,19.17383385,-155.465332,6,Hawaii,North America
10136,13/07/2022 05:55,24.1339,-108.5648,42,Mexico,North America
10137,13/07/2022 05:58,-4.8316,154.787,40,Papua New Guinea,Oceania
10138,13/07/2022 06:04,31.69507037,-104.1277487,8,Texas,North America
10139,13/07/2022 06:10,-22.2737,170.2661,45,New Caledonia,Oceania
10140,13/07/2022 07:21,38.6546,-116.1341,8,Nevada,North America
10141,13/07/2022 08:00,17.96383333,-66.94183333,7,Puerto Rico,Central America
10142,13/07/2022 08:19,35.1605,25.315,36,Greece,Europe
10143,13/07/2022 08:51,18.5733,120.2748,38,Philippines,Asia
10144,13/07/2022 09:13,-16.8533,-71.5525,55,Peru,South America
10145,13/07/2022 09:44,38.6906,-116.0807,6,Nevada,North America
10146,13/07/2022 10:19,18.01616667,-66.85066667,6,Puerto Rico,Central America
10147,13/07/2022 10:28,32.498,-118.2405,24,California,North America
10148,13/07/2022 10:36,-15.0415,-173.5136,38,Tonga,Oceania
10149,13/07/2022 11:08,16.8039,147.2383,47,Northern Mariana Islands,Oceania
10150,13/07/2022 11:16,13.2923,51.2407,45,Somalia,Africa
10151,13/07/2022 12:03,44.0361667,-115.1578333,6,Idaho,North America
10152,13/07/2022 12:29,18.0925,-64.9678,27,U.S. Virgin Islands,Central America
10153,13/07/2022 12:57,-28.7028,-70.5664,40,Chile,South America
10154,13/07/2022 14:07,16.7979,147.3047,42,Northern Mariana Islands,Oceania
10155,13/07/2022 14:09,37.6108333,-122.502,7,California,North America
10156,13/07/2022 14:41,36.9048333,-120.6571667,32,California,North America
10157,13/07/2022 15:17,19.17416573,-155.4663391,7,Hawaii,North America
10158,13/07/2022 15:53,1.5487,127.2233,40,Indonesia,Asia
